what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.1.v201007081533,"org.eclipse.wst.jsdt.core",1281845098722
started,bundle,org.eclipse.wst.jsdt.ui,1.1.1.v201007142139,"org.eclipse.wst.jsdt.ui",1281845098729
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1281845098730
started,bundle,org.eclipse.wst.xml.core,1.1.501.v201007151827,"org.eclipse.wst.xml.core",1281845098733
os,sysinfo,,,"win32",1281845098740
arch,sysinfo,,,"x86",1281845098740
ws,sysinfo,,,"win32",1281845098740
locale,sysinfo,,,"en_US",1281845098740
processors,sysinfo,,,"2",1281845098740
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1281845098740
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1281845098740
java.specification.name,sysinfo,,,"Java Platform API Specification",1281845098740
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281845098740
java.specification.version,sysinfo,,,"1.6",1281845098740
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1281845098740
java.version,sysinfo,,,"1.6.0_21",1281845098740
java.vm.info,sysinfo,,,"mixed mode, sharing",1281845098740
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1281845098740
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1281845098740
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281845098740
java.vm.specification.version,sysinfo,,,"1.0",1281845098740
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1281845098740
java.vm.version,sysinfo,,,"17.0-b16",1281845098740
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1281845098920
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1281845098927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281845112193
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281845113862
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281845113994
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281845116269
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1281845116952
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1281845119397
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1281845120413
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281845122732
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1281845130906
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1281845130909
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281845131284
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1281845131412
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1281845131519
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281845133389
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1281845133404
