what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1280542410679
os,sysinfo,,,"win32",1280542410695
arch,sysinfo,,,"x86",1280542410695
ws,sysinfo,,,"win32",1280542410695
locale,sysinfo,,,"en_US",1280542410695
processors,sysinfo,,,"2",1280542410695
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1280542410695
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1280542410695
java.specification.name,sysinfo,,,"Java Platform API Specification",1280542410695
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280542410695
java.specification.version,sysinfo,,,"1.6",1280542410695
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1280542410695
java.version,sysinfo,,,"1.6.0_21",1280542410695
java.vm.info,sysinfo,,,"mixed mode, sharing",1280542410695
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1280542410695
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1280542410695
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280542410695
java.vm.specification.version,sysinfo,,,"1.0",1280542410695
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1280542410695
java.vm.version,sysinfo,,,"17.0-b16",1280542410695
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1280542411163
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1280542411194
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1280542411568
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1280542412879
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1280542413924
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1280542414158
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1280542415156
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1280542415281
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1280542415765
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.400.v201005270700,"org.eclipse.jst.j2ee.ejb",1280542416045
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1280542416077
started,bundle,org.eclipse.jst.j2ee.web,1.1.400.v201005270700,"org.eclipse.jst.j2ee.web",1280542416248
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1280542416279
started,bundle,org.eclipse.jst.jee.ejb,1.0.300.v201004191420,"org.eclipse.jst.jee.ejb",1280542416326
started,bundle,org.eclipse.jst.jee.web,1.0.300.v201004280739,"org.eclipse.jst.jee.web",1280542416389
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1280542420367
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1280542420429
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1280542420663
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1280542420710
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1280542421755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542429259
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1280542472985
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1280542473781
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1280542473890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542486183
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542488648
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542677071
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542678600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542743782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542767119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542769553
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1280542773437
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1280542773468
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1280542773484
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1280542773500
started,bundle,org.eclipse.jst.jsf.common,1.2.0.v20100604,"org.eclipse.jst.jsf.common",1280542773515
started,bundle,org.eclipse.jst.jsf.core,1.3.0.v20100602,"org.eclipse.jst.jsf.core",1280542773515
started,bundle,org.eclipse.jst.jsp.core,1.2.300.v201005271731,"org.eclipse.jst.jsp.core",1280542773593
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1280542773687
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1280542773687
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1280542773702
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1280542774826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542789443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542792672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1280542792703
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1280542809957
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1280542810004
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1280542810066
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1280542810144
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1280542810175
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542812017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542815823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542817868
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542839334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542849086
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542849352
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542853252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542855560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280542856387
